time,open,high,low,close,tick_volume,spread,real_volume
2025-04-01 00:00:00,1822.12,1842.73,1817.43,1831.9,5765,180,0
2025-04-01 01:00:00,1831.9,1833.4,1820.58,1826.33,5013,180,0
2025-04-01 02:00:00,1826.33,1839.36,1824.11,1839.15,3673,180,0
2025-04-01 03:00:00,1839.15,1840.88,1832.53,1834.88,3261,180,0
2025-04-01 04:00:00,1834.94,1840.37,1831.59,1837.54,2668,180,0
2025-04-01 05:00:00,1837.54,1849.93,1836.3,1840.99,3476,180,0
2025-04-01 06:00:00,1840.99,1866.6,1838.71,1857.39,5162,180,0
2025-04-01 07:00:00,1857.39,1862.64,1851.77,1854.23,4813,180,0
2025-04-01 08:00:00,1854.23,1891.77,1853.97,1884.2,8853,180,0
2025-04-01 09:00:00,1884.2,1890.04,1878.11,1885.07,5359,180,0
2025-04-01 10:00:00,1885.07,1885.74,1871.8,1872.69,5527,180,0
2025-04-01 11:00:00,1872.69,1873.62,1855.87,1861.99,5550,180,0
2025-04-01 12:00:00,1861.99,1870.31,1858.76,1864.89,4167,180,0
2025-04-01 13:00:00,1864.89,1881.52,1862.96,1873.9,9641,180,0
2025-04-01 14:00:00,1873.75,1888.36,1841.59,1882.22,14999,180,0
2025-04-01 15:00:00,1882.31,1928.07,1882.31,1918.36,15905,180,0
2025-04-01 16:00:00,1918.36,1924.37,1907.85,1916.25,7150,180,0
2025-04-01 17:00:00,1916.25,1923.33,1913.72,1915.38,4990,180,0
2025-04-01 18:00:00,1915.38,1915.78,1901.58,1908.78,5545,180,0
2025-04-01 19:00:00,1908.78,1911.94,1903.26,1910.26,4060,180,0
2025-04-01 20:00:00,1910.16,1916.6,1897.31,1913.03,3795,180,0
2025-04-01 21:00:00,1913.03,1923.7,1908.86,1915.8,2908,180,0
2025-04-01 22:00:00,1915.8,1920.96,1911.2,1912.09,3244,180,0
2025-04-01 23:00:00,1912.09,1916.05,1905.15,1905.78,2467,180,0
2025-04-02 00:00:00,1905.78,1909.72,1887.51,1890.46,4660,180,0
2025-04-02 01:00:00,1890.6,1896.92,1883.16,1893.03,5092,180,0
2025-04-02 02:00:00,1893.03,1893.72,1872.07,1878.01,5270,180,0
2025-04-02 03:00:00,1878.01,1887.45,1874.75,1875.97,3189,180,0
2025-04-02 04:00:00,1875.97,1883.18,1874.93,1878.85,3001,180,0
2025-04-02 05:00:00,1878.85,1879.09,1853.81,1855.98,6359,180,0
2025-04-02 06:00:00,1855.98,1862.52,1851.0,1853.6,4635,180,0
2025-04-02 07:00:00,1853.6,1866.56,1851.61,1864.54,4782,180,0
2025-04-02 08:00:00,1864.54,1875.5,1861.83,1867.37,4093,180,0
2025-04-02 09:00:00,1867.37,1887.77,1865.86,1879.1,5879,180,0
2025-04-02 10:00:00,1879.1,1887.53,1870.12,1872.09,4688,180,0
2025-04-02 11:00:00,1872.09,1878.28,1867.43,1868.03,3853,180,0
2025-04-02 12:00:00,1868.03,1872.93,1857.29,1871.66,5742,180,0
2025-04-02 13:00:00,1871.66,1893.17,1853.1,1871.29,12116,180,0
2025-04-02 14:00:00,1871.13,1881.41,1856.67,1875.1,11384,180,0
2025-04-02 15:00:00,1875.1,1918.62,1873.64,1900.99,22312,180,0
2025-04-02 16:00:00,1900.99,1910.53,1894.93,1903.22,7996,180,0
2025-04-02 17:00:00,1903.22,1914.62,1882.02,1892.67,9416,180,0
2025-04-02 18:00:00,1892.67,1904.79,1887.92,1897.83,5086,180,0
2025-04-02 19:00:00,1897.83,1916.51,1892.8,1911.84,5636,180,0
2025-04-02 20:00:00,1911.71,1956.86,1865.54,1880.44,26991,180,0
2025-04-02 21:00:00,1880.35,1884.5,1853.9,1866.67,9507,180,0
2025-04-02 22:00:00,1866.67,1866.67,1787.61,1796.82,20110,180,0
2025-04-02 23:00:00,1796.82,1801.15,1779.7,1793.41,11562,180,0
2025-04-03 00:00:00,1793.37,1826.95,1786.84,1819.57,11080,180,0
2025-04-03 01:00:00,1819.57,1833.9,1813.0,1824.71,7495,180,0
2025-04-03 02:00:00,1824.71,1831.74,1816.5,1829.1,6023,180,0
2025-04-03 03:00:00,1829.1,1829.51,1818.12,1822.98,4698,180,0
2025-04-03 04:00:00,1822.98,1844.31,1821.03,1834.47,4731,180,0
2025-04-03 05:00:00,1834.47,1839.65,1819.45,1820.12,3911,180,0
2025-04-03 06:00:00,1820.12,1826.69,1812.3,1816.42,4641,180,0
2025-04-03 07:00:00,1816.42,1821.21,1805.71,1814.27,5983,180,0
2025-04-03 08:00:00,1814.27,1823.3,1813.59,1820.06,5157,180,0
2025-04-03 09:00:00,1820.08,1822.32,1808.14,1810.35,5142,180,0
2025-04-03 10:00:00,1810.35,1816.36,1788.41,1791.96,9184,180,0
2025-04-03 11:00:00,1791.96,1801.23,1785.26,1793.23,7551,180,0
2025-04-03 12:00:00,1793.23,1799.0,1746.33,1757.75,14581,180,0
2025-04-03 13:00:00,1757.75,1790.01,1754.35,1782.32,17314,180,0
2025-04-03 14:00:00,1782.32,1782.79,1749.04,1756.31,15944,180,0
2025-04-03 15:00:00,1756.31,1781.07,1752.72,1780.88,10874,180,0
2025-04-03 16:00:00,1780.66,1789.22,1768.94,1771.81,9464,180,0
2025-04-03 17:00:00,1771.81,1780.95,1765.07,1774.17,6715,180,0
2025-04-03 18:00:00,1774.21,1797.61,1768.01,1786.57,7046,180,0
2025-04-03 19:00:00,1786.61,1793.26,1780.59,1785.31,7514,180,0
2025-04-03 20:00:00,1785.32,1801.79,1777.4,1796.94,3940,180,0
2025-04-03 21:00:00,1796.94,1817.38,1794.04,1810.57,4205,180,0
2025-04-03 22:00:00,1810.57,1814.97,1804.17,1810.08,4716,180,0
2025-04-03 23:00:00,1810.08,1820.75,1801.7,1815.36,4558,180,0
